500,0,72,3,1
1000,0,414,5,1
1500,0,782,7,1
2000,0,875,10,1
2500,0,1373,14,1
3000,0,2001,18,1
3500,2,2732,21,1
4000,2,3591,24,1
4500,0,4537,27,1
5000,9,5590,27,1
5500,10,6777,35,1
6000,0,8159,37,1
6500,7,9548,45,1
7000,4,11069,48,1
7500,2,12642,51,1
8000,4,14379,55,1
8500,18,16439,55,1
9000,3,18180,62,1
9500,2,20631,66,1
10000,3,22368,72,1
10500,7,25080,72,1
11000,4,27546,72,1
11500,5,29918,79,1
12000,3,32638,89,1
12500,20,35264,86,1
13000,7,38570,96,1
13500,19,40977,96,1
14000,6,44263,96,1
14500,11,47254,103,1
15000,7,50524,113,1
15500,7,59960,110,1
16000,6,57347,114,1
16500,14,60749,114,1
17000,8,64674,124,1
17500,7,68533,124,1
18000,7,103642,124,1
18500,8,76410,141,1
19000,20,80694,138,1
19500,7,84571,147,1
20000,15,1388238,3365,1
20500,228,973320,151,1
21000,9,99196,162,1
21500,10,103506,151,1
22000,17,108518,161,1
22500,17,113064,171,1
23000,14,118544,178,1
23500,18,123281,175,1
24000,28,129187,193,1
24500,17,134097,178,1
25000,24,139820,186,1
