500,0,0,0,1
1000,0,16,0,1
1500,0,0,0,1
2000,0,31,0,1
2500,0,31,0,1
3000,0,32,0,1
3500,0,47,0,1
4000,0,78,0,1
4500,0,94,0,1
5000,0,125,0,1
5500,0,141,0,1
6000,0,156,0,1
6500,0,188,15,1
7000,0,219,16,1
7500,0,265,0,1
8000,0,297,0,1
8500,0,343,0,1
9000,0,375,0,1
9500,0,438,0,1
10000,0,469,0,1
10500,0,515,16,1
11000,0,562,0,1
11500,0,641,0,1
12000,0,688,0,1
12500,0,734,0,1
13000,0,797,0,1
13500,0,860,0,1
14000,0,922,15,1
14500,0,985,0,1
15000,0,1062,0,1
15500,0,1141,0,1
16000,0,1204,0,1
16500,0,1281,0,1
17000,0,1344,0,1
17500,0,1422,0,1
18000,0,1515,0,1
18500,0,1594,0,1
19000,0,1688,0,1
19500,0,1797,0,1
20000,0,1890,16,1
20500,0,1953,0,1
21000,0,2078,0,1
21500,0,2141,15,1
22000,0,2266,16,1
22500,0,2390,16,1
23000,0,2484,0,1
23500,0,2547,15,1
24000,0,2704,0,1
24500,0,2797,0,1
25000,0,2875,0,1
