1500,0,31,0,1
2500,0,109,0,1
3500,0,188,16,1
4500,0,313,15,1
5500,0,500,0,1
6500,0,688,0,1
7500,0,875,0,1
8500,0,1141,0,1
9500,0,1391,0,1
10500,0,1703,0,1
11500,0,2031,0,1
12500,0,2406,16,1
13500,0,2797,0,1
14500,0,3203,16,1
15500,0,3656,0,1
16500,0,4141,15,1
17500,0,4641,16,1
18500,0,5156,15,1
19500,0,5719,15,1
20500,0,6297,16,1
21500,0,6921,16,1
22500,0,7547,16,1
23500,0,8203,16,1
24500,0,8906,15,1
25500,0,9609,16,1
26500,0,10375,15,1
27500,0,11141,16,1
28500,0,11922,16,1
29500,0,12734,31,1
30500,0,13578,32,1
31500,0,14484,16,1
32500,0,15360,15,1
33500,0,16250,16,1
34500,0,17171,32,1
35500,0,18125,32,1
36500,0,19125,31,1
37500,0,20125,32,1
38500,0,21157,31,1
39500,0,22219,15,1
40500,0,23281,31,1
41500,0,24406,31,1
42500,0,25516,31,1
43500,0,26672,31,1
44500,0,27813,31,1
45500,0,29140,32,1
46500,0,30250,31,1
47500,0,31453,31,1
48500,0,32672,47,1
49500,0,33937,47,1
50500,0,35219,47,1
